SDATA,THTP
2023-12-31 11:00,292.0
2023-12-31 12:00,295.0
2023-12-31 13:00,294.0
2023-12-31 14:00,291.0
2023-12-31 15:00,284.0
2023-12-31 16:00,295.0
2023-12-31 17:00,302.0
2023-12-31 18:00,297.0
2023-12-31 19:00,305.0
2023-12-31 20:00,304.0
2023-12-31 21:00,298.0
2023-12-31 22:00,300.0
2023-12-31 23:00,302.0
2024-01-01 00:00,304.0
2024-01-01 01:00,304.0
2024-01-01 02:00,299.0
2024-01-01 03:00,297.0
2024-01-01 04:00,294.0
2024-01-01 05:00,297.0
2024-01-01 06:00,297.0
2024-01-01 07:00,303.0
2024-01-01 08:00,299.0
2024-01-01 09:00,297.0
2024-01-01 10:00,294.0
2024-01-01 11:00,295.0
2024-01-01 12:00,292.0
2024-01-01 13:00,293.0
2024-01-01 14:00,295.0
2024-01-01 15:00,298.0
2024-01-01 16:00,297.0
2024-01-01 17:00,294.0
2024-01-01 18:00,293.0
2024-01-01 19:00,289.0
2024-01-01 20:00,303.0
2024-01-01 21:00,300.0
2024-01-01 22:00,300.0
2024-01-01 23:00,279.0
2024-01-02 00:00,293.0
2024-01-02 01:00,290.0
2024-01-02 02:00,290.0
2024-01-02 03:00,300.0
2024-01-02 04:00,285.0
2024-01-02 05:00,292.0
2024-01-02 06:00,295.0
2024-01-02 07:00,284.0
2024-01-02 08:00,295.0
2024-01-02 09:00,288.0
2024-01-02 10:00,287.0
2024-01-02 11:00,291.0
2024-01-02 12:00,
2024-01-02 13:00,288.0
2024-01-02 14:00,291.0
2024-01-02 15:00,291.0
2024-01-02 16:00,295.0
2024-01-02 17:00,277.0
2024-01-02 18:00,301.0
2024-01-02 19:00,287.0
2024-01-02 20:00,288.0
2024-01-02 21:00,285.0
2024-01-02 22:00,286.0
2024-01-02 23:00,290.0
2024-01-03 00:00,283.0
2024-01-03 01:00,275.0
2024-01-03 02:00,281.0
2024-01-03 03:00,288.0
2024-01-03 04:00,290.0
2024-01-03 05:00,293.0
2024-01-03 06:00,299.0
2024-01-03 07:00,288.0
2024-01-03 08:00,295.0
