Null value: -9999.9	
Date (GMT)	Salinity(psu)
2011 03 31 00	36.138
2011 03 31 01	36.138
2011 03 31 02	36.138
2011 03 31 03	36.138
2011 03 31 04	36.138
2011 03 31 05	36.138
2011 03 31 06	36.138
2011 03 31 07	36.138
2011 03 31 08	36.138
2011 03 31 09	36.138
2011 03 31 10	36.138
2011 03 31 11	36.138
2011 03 31 12	36.138
2011 03 31 13	36.138
2011 03 31 14	36.138
2011 03 31 15	36.138
2011 03 31 16	36.138
2011 03 31 17	36.138
2011 03 31 18	36.138
2011 03 31 19	36.138
2011 03 31 20	36.138
2011 03 31 21	36.138
2011 03 31 22	36.138
2011 03 31 23	36.138
2011 04 01 00	36.168
2011 04 01 01	36.168
2011 04 01 02	36.168
2011 04 01 03	36.168
2011 04 01 04	36.168
2011 04 01 05	36.168
2011 04 01 06	36.168
2011 04 01 07	36.168
2011 04 01 08	36.168
2011 04 01 09	36.168
2011 04 01 10	36.168
2011 04 01 11	36.168
2011 04 01 12	36.168
2011 04 01 13	36.168
2011 04 01 14	36.168
2011 04 01 15	36.168
2011 04 01 16	36.168
2011 04 01 17	36.168
2011 04 01 18	36.168
2011 04 01 19	36.168
2011 04 01 20	36.168
2011 04 01 21	36.168
2011 04 01 22	36.168
2011 04 01 23	36.168
2011 04 02 00	36.203
2011 04 02 01	36.203
2011 04 02 02	36.203
2011 04 02 03	36.203
2011 04 02 04	36.203
2011 04 02 05	36.203
2011 04 02 06	36.203
2011 04 02 07	36.203
2011 04 02 08	36.203
2011 04 02 09	36.203
2011 04 02 10	36.203
2011 04 02 11	36.203
2011 04 02 12	36.203
2011 04 02 13	36.203
2011 04 02 14	36.203
2011 04 02 15	36.203
2011 04 02 16	36.203
2011 04 02 17	36.203
2011 04 02 18	36.203
2011 04 02 19	36.203
2011 04 02 20	36.203
2011 04 02 21	36.203
2011 04 02 22	36.203
2011 04 02 23	36.203
2011 04 03 00	36.218
2011 04 03 01	36.218
2011 04 03 02	36.218
2011 04 03 03	36.218
2011 04 03 04	36.218
2011 04 03 05	36.218
2011 04 03 06	36.218
2011 04 03 07	36.218
2011 04 03 08	36.218
2011 04 03 09	36.218
2011 04 03 10	36.218
2011 04 03 11	36.218
2011 04 03 12	36.218
2011 04 03 13	36.218
2011 04 03 14	36.218
2011 04 03 15	36.218
2011 04 03 16	36.218
2011 04 03 17	36.218
2011 04 03 18	36.218
2011 04 03 19	36.218
2011 04 03 20	36.218
2011 04 03 21	36.218
2011 04 03 22	36.218
2011 04 03 23	36.218
2011 04 04 00	36.227
2011 04 04 01	36.227
2011 04 04 02	36.227
2011 04 04 03	36.227
2011 04 04 04	36.227
2011 04 04 05	36.227
2011 04 04 06	36.227
2011 04 04 07	36.227
2011 04 04 08	36.227
2011 04 04 09	36.227
2011 04 04 10	36.227
2011 04 04 11	36.227
2011 04 04 12	36.227
2011 04 04 13	36.227
2011 04 04 14	36.227
2011 04 04 15	36.227
2011 04 04 16	36.227
2011 04 04 17	36.227
2011 04 04 18	36.227
2011 04 04 19	36.227
2011 04 04 20	36.227
2011 04 04 21	36.227
2011 04 04 22	36.227
2011 04 04 23	36.227
2011 04 05 00	36.244
2011 04 05 01	36.244
2011 04 05 02	36.244
2011 04 05 03	36.244
2011 04 05 04	36.244
2011 04 05 05	36.244
2011 04 05 06	36.244
2011 04 05 07	36.244
2011 04 05 08	36.244
2011 04 05 09	36.244
2011 04 05 10	36.244
2011 04 05 11	36.244
2011 04 05 12	36.244
2011 04 05 13	36.244
2011 04 05 14	36.244
2011 04 05 15	36.244
2011 04 05 16	36.244
2011 04 05 17	36.244
2011 04 05 18	36.244
2011 04 05 19	36.244
2011 04 05 20	36.244
2011 04 05 21	36.244
2011 04 05 22	36.244
2011 04 05 23	36.244
2011 04 06 00	36.264
2011 04 06 01	36.264
2011 04 06 02	36.264
2011 04 06 03	36.264
2011 04 06 04	36.264
2011 04 06 05	36.264
2011 04 06 06	36.264
2011 04 06 07	36.264
2011 04 06 08	36.264
2011 04 06 09	36.264
2011 04 06 10	36.264
2011 04 06 11	36.264
2011 04 06 12	36.264
2011 04 06 13	36.264
2011 04 06 14	36.264
2011 04 06 15	36.264
2011 04 06 16	36.264
2011 04 06 17	36.264
2011 04 06 18	36.264
2011 04 06 19	36.264
2011 04 06 20	36.264
2011 04 06 21	36.264
2011 04 06 22	36.264
2011 04 06 23	36.264
2011 04 07 00	36.288
2011 04 07 01	36.288
2011 04 07 02	36.288
2011 04 07 03	36.288
2011 04 07 04	36.288
2011 04 07 05	36.288
2011 04 07 06	36.288
2011 04 07 07	36.288
2011 04 07 08	36.288
2011 04 07 09	36.288
2011 04 07 10	36.288
2011 04 07 11	36.288
2011 04 07 12	36.288
2011 04 07 13	36.288
2011 04 07 14	36.288
2011 04 07 15	36.288
2011 04 07 16	36.288
2011 04 07 17	36.288
2011 04 07 18	36.288
2011 04 07 19	36.288
2011 04 07 20	36.288
2011 04 07 21	36.288
2011 04 07 22	36.288
2011 04 07 23	36.288
2011 04 08 00	36.334
2011 04 08 01	36.334
2011 04 08 02	36.334
2011 04 08 03	36.334
2011 04 08 04	36.334
2011 04 08 05	36.334
2011 04 08 06	36.334
2011 04 08 07	36.334
2011 04 08 08	36.334
2011 04 08 09	36.334
2011 04 08 10	36.334
2011 04 08 11	36.334
2011 04 08 12	36.334
2011 04 08 13	36.334
2011 04 08 14	36.334
2011 04 08 15	36.334
2011 04 08 16	36.334
