Null value: -9999.9	
Date (GMT)	Sea Temperature(ºC)
2011 03 31 00	17.101
2011 03 31 01	17.018
2011 03 31 02	16.951
2011 03 31 03	16.889
2011 03 31 04	16.842
2011 03 31 05	16.807
2011 03 31 06	16.802
2011 03 31 07	16.815
2011 03 31 08	16.842
2011 03 31 09	16.921
2011 03 31 10	17.016
2011 03 31 11	17.1
2011 03 31 12	17.213
2011 03 31 13	17.334
2011 03 31 14	17.438
2011 03 31 15	17.514
2011 03 31 16	17.581
2011 03 31 17	17.648
2011 03 31 18	17.633
2011 03 31 19	17.576
2011 03 31 20	17.542
2011 03 31 21	17.516
2011 03 31 22	17.471
2011 03 31 23	17.431
2011 04 01 00	17.381
2011 04 01 01	17.313
2011 04 01 02	17.245
2011 04 01 03	17.18
2011 04 01 04	17.126
2011 04 01 05	17.087
2011 04 01 06	17.077
2011 04 01 07	17.081
2011 04 01 08	17.096
2011 04 01 09	17.151
2011 04 01 10	17.206
2011 04 01 11	17.246
2011 04 01 12	17.295
2011 04 01 13	17.347
2011 04 01 14	17.396
2011 04 01 15	17.386
2011 04 01 16	17.355
2011 04 01 17	17.346
2011 04 01 18	17.328
2011 04 01 19	17.316
2011 04 01 20	17.312
2011 04 01 21	17.315
2011 04 01 22	17.313
2011 04 01 23	17.3
2011 04 02 00	17.28
2011 04 02 01	17.26
2011 04 02 02	17.238
2011 04 02 03	17.233
2011 04 02 04	17.236
2011 04 02 05	17.239
2011 04 02 06	17.308
2011 04 02 07	17.414
2011 04 02 08	17.519
2011 04 02 09	17.646
2011 04 02 10	17.781
2011 04 02 11	17.902
2011 04 02 12	17.946
2011 04 02 13	17.944
2011 04 02 14	17.948
2011 04 02 15	17.884
2011 04 02 16	17.782
2011 04 02 17	17.719
2011 04 02 18	17.669
2011 04 02 19	17.615
2011 04 02 20	17.584
2011 04 02 21	17.563
2011 04 02 22	17.552
2011 04 02 23	17.537
2011 04 03 00	17.519
2011 04 03 01	17.504
2011 04 03 02	17.49
2011 04 03 03	17.483
2011 04 03 04	17.476
2011 04 03 05	17.465
2011 04 03 06	17.451
2011 04 03 07	17.416
2011 04 03 08	17.385
2011 04 03 09	17.382
2011 04 03 10	17.393
2011 04 03 11	17.401
2011 04 03 12	17.429
2011 04 03 13	17.465
2011 04 03 14	17.5
2011 04 03 15	17.517
2011 04 03 16	17.524
2011 04 03 17	17.531
2011 04 03 18	17.507
2011 04 03 19	17.482
2011 04 03 20	17.459
2011 04 03 21	17.435
2011 04 03 22	17.4
2011 04 03 23	17.372
2011 04 04 00	17.496
2011 04 04 01	17.432
2011 04 04 02	17.382
2011 04 04 03	17.337
