Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2011 03 31 00	0.201	129.12
2011 03 31 01	0.17	143.2
2011 03 31 02	0.151	158.92
2011 03 31 03	0.13	176.18
2011 03 31 04	0.091	186.86
2011 03 31 05	0.045	196.05
2011 03 31 06	0.006	5.39
2011 03 31 07	0.079	30.2
2011 03 31 08	0.157	40.85
2011 03 31 09	0.2	47.64
2011 03 31 10	0.225	56.71
2011 03 31 11	0.226	69.01
2011 03 31 12	0.199	84.13
2011 03 31 13	0.174	99.2
2011 03 31 14	0.149	117.17
2011 03 31 15	0.129	130.02
2011 03 31 16	0.103	125.93
2011 03 31 17	0.084	102.18
2011 03 31 18	0.104	71.39
2011 03 31 19	0.154	59.16
2011 03 31 20	0.226	58.66
2011 03 31 21	0.247	63.44
2011 03 31 22	0.227	72.48
2011 03 31 23	0.201	83.44
2011 04 01 00	0.147	105.02
2011 04 01 01	0.104	128.83
2011 04 01 02	0.082	163.31
2011 04 01 03	0.088	198.4
2011 04 01 04	0.071	223.79
2011 04 01 05	0.059	260.1
2011 04 01 06	0.069	304.76
2011 04 01 07	0.107	347.33
2011 04 01 08	0.162	13.7
2011 04 01 09	0.194	29.89
2011 04 01 10	0.2	45.42
2011 04 01 11	0.184	62.63
2011 04 01 12	0.142	84.93
2011 04 01 13	0.112	116.72
2011 04 01 14	0.107	156.11
2011 04 01 15	0.104	182.63
2011 04 01 16	0.1	209.06
2011 04 01 17	0.095	240.52
2011 04 01 18	0.089	284.05
2011 04 01 19	0.102	319.12
2011 04 01 20	0.127	347.1
2011 04 01 21	0.157	11.64
2011 04 01 22	0.148	27.95
2011 04 01 23	0.113	44.38
2011 04 02 00	0.089	67.9
2011 04 02 01	0.063	117.42
2011 04 02 02	0.084	172.52
2011 04 02 03	0.106	191.26
2011 04 02 04	0.122	205.7
2011 04 02 05	0.133	219.33
2011 04 02 06	0.123	231.14
2011 04 02 07	0.092	250.31
2011 04 02 08	0.072	280.5
2011 04 02 09	0.069	317.44
2011 04 02 10	0.072	343.59
2011 04 02 11	0.061	353.56
2011 04 02 12	0.034	347.71
2011 04 02 13	0.025	267.62
2011 04 02 14	0.065	239.31
2011 04 02 15	0.086	242.91
2011 04 02 16	0.098	251.2
2011 04 02 17	0.092	262.87
2011 04 02 18	0.068	286.58
2011 04 02 19	0.057	326.28
2011 04 02 20	0.081	14.37
2011 04 02 21	0.11	36.72
2011 04 02 22	0.122	53.86
2011 04 02 23	0.115	73.36
2011 04 03 00	0.105	103.62
2011 04 03 01	0.111	136.84
2011 04 03 02	0.141	172.92
2011 04 03 03	0.183	193.41
2011 04 03 04	0.198	207.16
2011 04 03 05	0.219	220.94
2011 04 03 06	0.209	233.17
2011 04 03 07	0.187	246.92
2011 04 03 08	0.163	264.51
2011 04 03 09	0.14	288.36
2011 04 03 10	0.131	310.64
2011 04 03 11	0.123	332.53
2011 04 03 12	0.105	355.67
2011 04 03 13	0.071	20.6
2011 04 03 14	0.038	75.31
2011 04 03 15	0.047	119.74
2011 04 03 16	0.058	149.44
2011 04 03 17	0.066	167.38
2011 04 03 18	0.068	179.54
2011 04 03 19	0.065	192.76
2011 04 03 20	0.052	205.6
2011 04 03 21	0.035	209.53
2011 04 03 22	0.035	213.08
2011 04 03 23	0.046	224.51
2011 04 04 00	0.107	120.68
2011 04 04 01	0.142	159.74
2011 04 04 02	0.19	187.76
2011 04 04 03	0.182	196.81
2011 04 04 04	0.219	209.01
2011 04 04 05	0.296	223.37
2011 04 04 06	0.236	237.1
2011 04 04 07	0.245	249.65
2011 04 04 08	0.229	265.87
2011 04 04 09	0.199	292.4
2011 04 04 10	0.191	305.69
2011 04 04 11	0.178	323.65
2011 04 04 12	0.166	340.38
2011 04 04 13	0.134	346.27
2011 04 04 14	0.093	350.76
2011 04 04 15	0.071	355.02
2011 04 04 16	0.057	2.61
2011 04 04 17	0.047	11.65
2011 04 04 18	0.046	37.86
2011 04 04 19	0.058	64.58
2011 04 04 20	0.063	81.67
2011 04 04 21	0.075	105.13
2011 04 04 22	0.08	140.88
2011 04 04 23	0.086	167.21
2011 04 05 00	0.104	204.3
2011 04 05 01	0.152	229.2
2011 04 05 02	0.196	243.42
2011 04 05 03	0.238	256.65
2011 04 05 04	0.258	270.86
2011 04 05 05	0.272	280.93
2011 04 05 06	0.273	290.66
2011 04 05 07	0.262	303.4
2011 04 05 08	0.246	320.45
2011 04 05 09	0.213	332.32
2011 04 05 10	0.19	348.7
2011 04 05 11	0.154	1.67
2011 04 05 12	0.106	10.57
2011 04 05 13	0.043	12.54
2011 04 05 14	0.028	240.08
2011 04 05 15	0.111	232.91
2011 04 05 16	0.174	239.31
2011 04 05 17	0.238	245.82
2011 04 05 18	0.297	252.63
2011 04 05 19	0.323	261.88
2011 04 05 20	0.331	271.94
2011 04 05 21	0.339	280.36
2011 04 05 22	0.335	288.04
2011 04 05 23	0.317	296.54
2011 04 06 00	0.303	300.7
2011 04 06 01	0.288	302.97
2011 04 06 02	0.27	304.9
2011 04 06 03	0.256	302.38
2011 04 06 04	0.241	297.99
2011 04 06 05	0.221	297.2
2011 04 06 06	0.215	287.59
2011 04 06 07	0.215	280.19
2011 04 06 08	0.21	276.69
2011 04 06 09	0.216	272.33
2011 04 06 10	0.222	271.07
2011 04 06 11	0.222	273.47
2011 04 06 12	0.221	278.75
2011 04 06 13	0.226	283.76
2011 04 06 14	0.225	291.55
2011 04 06 15	0.22	297.1
2011 04 06 16	0.211	297.02
2011 04 06 17	0.197	297.66
2011 04 06 18	0.183	297.31
2011 04 06 19	0.168	293.74
2011 04 06 20	0.155	296.2
2011 04 06 21	0.148	296.35
2011 04 06 22	0.143	292.1
2011 04 06 23	0.137	294.26
2011 04 07 00	0.136	295.58
2011 04 07 01	0.141	291.71
2011 04 07 02	0.148	293.88
2011 04 07 03	0.156	296.3
2011 04 07 04	0.162	297.13
2011 04 07 05	0.158	301.73
2011 04 07 06	0.147	304.74
2011 04 07 07	0.133	307.72
2011 04 07 08	0.112	319.05
2011 04 07 09	0.093	324.78
2011 04 07 10	0.081	328.56
2011 04 07 11	0.072	329.18
2011 04 07 12	0.066	316.4
2011 04 07 13	0.074	305.23
2011 04 07 14	0.094	298.25
2011 04 07 15	0.116	302.37
2011 04 07 16	0.136	317.01
2011 04 07 17	0.153	332.3
2011 04 07 18	0.162	345.99
2011 04 07 19	0.155	358.9
2011 04 07 20	0.15	12.36
2011 04 07 21	0.131	23.63
2011 04 07 22	0.112	35.86
2011 04 07 23	0.086	47.32
2011 04 08 00	0.107	279.71
2011 04 08 01	0.122	280.69
2011 04 08 02	0.111	294.59
2011 04 08 03	0.156	271.48
2011 04 08 04	0.22	264.07
2011 04 08 05	0.181	288.97
2011 04 08 06	0.203	284.36
2011 04 08 07	0.201	287.97
2011 04 08 08	0.18	300.91
2011 04 08 09	0.168	291.65
2011 04 08 10	0.15	305.48
2011 04 08 11	0.129	313.6
2011 04 08 12	0.113	300.46
2011 04 08 13	0.099	300.7
2011 04 08 14	0.092	302.97
2011 04 08 15	0.101	279.48
2011 04 08 16	0.103	281.68
2011 04 08 17	0.11	279.31
2011 04 08 18	0.121	274.01
2011 04 08 19	0.133	268.77
2011 04 08 20	0.138	270.33
2011 04 08 21	0.131	275.46
2011 04 08 22	0.122	277.23
2011 04 08 23	0.125	272.89
2011 04 09 00	0.038	288.44
2011 04 09 01	0.052	249.64
2011 04 09 02	0.093	240.03
2011 04 09 03	0.102	238.71
2011 04 09 04	0.125	240.37
2011 04 09 05	0.147	246.46
2011 04 09 06	0.158	253.74
2011 04 09 07	0.173	256.74
2011 04 09 08	0.181	260.04
2011 04 09 09	0.164	264.2
2011 04 09 10	0.145	262.6
2011 04 09 11	0.139	255.67
2011 04 09 12	0.114	269.85
2011 04 09 13	0.083	288.14
2011 04 09 14	0.062	297.21
2011 04 09 15	0.039	342.27
2011 04 09 16	0.048	42.02
2011 04 09 17	0.061	72.37
2011 04 09 18	0.087	95.09
2011 04 09 19	0.105	117.81
2011 04 09 20	0.116	135.55
2011 04 09 21	0.137	158.92
2011 04 09 22	0.161	176.7
2011 04 09 23	0.185	191.11
2011 04 10 00	0.193	205.94
2011 04 10 01	0.217	214.29
2011 04 10 02	0.251	222.4
2011 04 10 03	0.282	230.29
2011 04 10 04	0.292	239.36
2011 04 10 05	0.301	247.96
2011 04 10 06	0.288	256.74
2011 04 10 07	0.26	265.7
2011 04 10 08	0.225	274.84
2011 04 10 09	0.192	281.27
2011 04 10 10	0.158	285.92
2011 04 10 11	0.122	288.65
2011 04 10 12	0.093	296.86
2011 04 10 13	0.068	314.98
2011 04 10 14	0.044	335.63
2011 04 10 15	0.054	25.68
2011 04 10 16	0.097	58.6
2011 04 10 17	0.121	77.75
2011 04 10 18	0.14	98.26
2011 04 10 19	0.153	117.35
2011 04 10 20	0.16	136.92
2011 04 10 21	0.18	161.71
2011 04 10 22	0.206	180.7
2011 04 10 23	0.229	194.52
2011 04 11 00	0.139	174.63
2011 04 11 01	0.172	188.02
2011 04 11 02	0.164	202.85
2011 04 11 03	0.099	204.29
2011 04 11 04	0.124	212.09
2011 04 11 05	0.17	223.88
2011 04 11 06	0.074	237.76
2011 04 11 07	0.078	237.52
2011 04 11 08	0.062	234.69
2011 04 11 09	0.03	261.67
2011 04 11 10	0.064	245.76
2011 04 11 11	0.061	266.84
2011 04 11 12	0.064	292.37
2011 04 11 13	0.083	327.67
2011 04 11 14	0.096	345.17
2011 04 11 15	0.149	17.82
2011 04 11 16	0.211	36.24
2011 04 11 17	0.288	48.99
2011 04 11 18	0.342	62.29
2011 04 11 19	0.375	73.09
2011 04 11 20	0.365	84.09
2011 04 11 21	0.331	94.22
2011 04 11 22	0.288	106.44
2011 04 11 23	0.252	116.77
2011 04 12 00	0.204	128.13
2011 04 12 01	0.155	142.59
2011 04 12 02	0.095	148.52
2011 04 12 03	0.047	176.4
2011 04 12 04	0.022	324.78
2011 04 12 05	0.083	350.71
2011 04 12 06	0.12	354.55
2011 04 12 07	0.145	357.85
2011 04 12 08	0.171	4.54
2011 04 12 09	0.152	4.42
2011 04 12 10	0.147	5.39
2011 04 12 11	0.135	5.02
2011 04 12 12	0.14	4.08
2011 04 12 13	0.147	3.15
2011 04 12 14	0.165	9.08
2011 04 12 15	0.184	17.44
2011 04 12 16	0.217	29.0
2011 04 12 17	0.244	42.05
2011 04 12 18	0.253	57.68
2011 04 12 19	0.242	70.59
2011 04 12 20	0.222	80.21
2011 04 12 21	0.184	90.1
2011 04 12 22	0.15	100.96
2011 04 12 23	0.124	112.09
2011 04 13 00	0.095	129.81
2011 04 13 01	0.066	143.01
2011 04 13 02	0.043	168.5
2011 04 13 03	0.032	194.81
2011 04 13 04	0.017	238.62
2011 04 13 05	0.024	317.62
2011 04 13 06	0.045	341.91
2011 04 13 07	0.063	354.74
2011 04 13 08	0.076	11.57
2011 04 13 09	0.074	21.36
2011 04 13 10	0.053	29.27
2011 04 13 11	0.027	37.0
2011 04 13 12	0.007	287.99
2011 04 13 13	0.036	269.33
2011 04 13 14	0.063	277.16
2011 04 13 15	0.082	302.42
2011 04 13 16	0.103	333.67
2011 04 13 17	0.136	2.98
2011 04 13 18	0.181	25.82
2011 04 13 19	0.217	44.99
2011 04 13 20	0.244	60.75
2011 04 13 21	0.221	76.89
2011 04 13 22	0.179	95.99
2011 04 13 23	0.14	119.06
2011 04 14 00	0.121	151.9
2011 04 14 01	0.12	180.85
2011 04 14 02	0.122	205.38
2011 04 14 03	0.118	225.66
2011 04 14 04	0.103	247.36
2011 04 14 05	0.083	279.04
2011 04 14 06	0.074	316.13
2011 04 14 07	0.072	347.05
2011 04 14 08	0.08	20.07
2011 04 14 09	0.063	43.24
2011 04 14 10	0.02	104.81
2011 04 14 11	0.051	209.16
2011 04 14 12	0.104	234.43
2011 04 14 13	0.14	252.38
2011 04 14 14	0.162	266.75
2011 04 14 15	0.136	284.95
2011 04 14 16	0.103	312.15
2011 04 14 17	0.099	352.14
2011 04 14 18	0.12	32.32
2011 04 14 19	0.146	58.08
2011 04 14 20	0.172	74.2
2011 04 14 21	0.169	93.5
2011 04 14 22	0.153	120.82
2011 04 14 23	0.151	147.45
2011 04 15 00	0.174	181.26
2011 04 15 01	0.203	203.42
2011 04 15 02	0.227	218.34
2011 04 15 03	0.24	232.8
2011 04 15 04	0.221	248.21
2011 04 15 05	0.192	264.95
2011 04 15 06	0.159	287.06
2011 04 15 07	0.134	318.36
2011 04 15 08	0.123	352.47
2011 04 15 09	0.109	19.49
2011 04 15 10	0.075	45.73
2011 04 15 11	0.041	100.21
2011 04 15 12	0.056	177.47
2011 04 15 13	0.089	211.27
2011 04 15 14	0.128	228.88
2011 04 15 15	0.132	241.29
2011 04 15 16	0.104	256.61
2011 04 15 17	0.071	282.14
2011 04 15 18	0.049	348.36
2011 04 15 19	0.088	39.15
2011 04 15 20	0.124	59.67
2011 04 15 21	0.128	75.77
2011 04 15 22	0.108	96.69
2011 04 15 23	0.087	132.73
2011 04 16 00	0.091	179.84
2011 04 16 01	0.115	212.19
2011 04 16 02	0.142	230.39
2011 04 16 03	0.17	243.41
2011 04 16 04	0.167	257.93
2011 04 16 05	0.143	273.77
2011 04 16 06	0.125	291.29
2011 04 16 07	0.116	318.32
2011 04 16 08	0.122	347.44
2011 04 16 09	0.111	3.63
2011 04 16 10	0.084	12.04
2011 04 16 11	0.038	357.27
2011 04 16 12	0.037	272.77
2011 04 16 13	0.085	253.14
2011 04 16 14	0.127	252.87
2011 04 16 15	0.146	255.67
2011 04 16 16	0.158	258.43
2011 04 16 17	0.163	264.91
2011 04 16 18	0.167	274.3
2011 04 16 19	0.174	284.01
2011 04 16 20	0.179	297.46
2011 04 16 21	0.189	304.65
2011 04 16 22	0.194	305.74
2011 04 16 23	0.186	305.43
2011 04 17 00	0.179	297.29
2011 04 17 01	0.19	284.56
2011 04 17 02	0.214	275.42
2011 04 17 03	0.252	270.58
2011 04 17 04	0.291	268.4
2011 04 17 05	0.31	270.76
2011 04 17 06	0.318	275.83
2011 04 17 07	0.312	282.28
2011 04 17 08	0.283	293.39
2011 04 17 09	0.254	303.85
2011 04 17 10	0.219	310.85
2011 04 17 11	0.177	319.84
2011 04 17 12	0.133	316.64
2011 04 17 13	0.107	295.93
2011 04 17 14	0.119	271.68
2011 04 17 15	0.16	259.32
2011 04 17 16	0.199	255.93
2011 04 17 17	0.223	259.11
2011 04 17 18	0.238	264.7
2011 04 17 19	0.238	271.8
2011 04 17 20	0.224	283.64
2011 04 17 21	0.221	294.35
2011 04 17 22	0.224	304.36
2011 04 17 23	0.227	316.45
2011 04 18 00	0.227	323.27
2011 04 18 01	0.217	327.54
2011 04 18 02	0.19	327.88
2011 04 18 03	0.157	320.66
2011 04 18 04	0.13	313.76
2011 04 18 05	0.113	296.29
2011 04 18 06	0.113	281.42
2011 04 18 07	0.118	274.75
2011 04 18 08	0.128	270.63
2011 04 18 09	0.145	271.23
2011 04 18 10	0.163	275.96
2011 04 18 11	0.183	284.08
2011 04 18 12	0.197	293.86
2011 04 18 13	0.205	303.98
2011 04 18 14	0.204	306.94
2011 04 18 15	0.188	309.4
2011 04 18 16	0.165	306.78
2011 04 18 17	0.149	295.24
2011 04 18 18	0.134	290.39
2011 04 18 19	0.124	285.37
2011 04 18 20	0.126	279.88
2011 04 18 21	0.127	281.11
2011 04 18 22	0.129	286.88
